user_id,version,AE1,AE2,AE3,AE4,PE1,PE2,PE3,PE4,PE5,PE6,PE7,EN1,EN2,EN3,EN4,EN5,EN6,PG1,PG2,PG3,PG4,CF1,CF2,CF3,CF4,SC1,SC2,SC3,SC4,SC5,NA1,NA2,NA3,NA4,US1,US2,US3,US4,US5,US6,US7,VA1,VA2,VA3,VA4
user_22,v1,4,5,5,4,4,5,4,4,2,5,6,5,5,3,4,5,4,4,5,6,5,5,5,5,5,5,3,3,4,3,6,5,5,5,5,4,4,4,4,5,5,6,4,3,4
user_23,v1,4,4,4,4,5,6,3,5,4,3,3,4,4,3,5,4,6,6,5,4,5,4,5,5,5,4,5,5,5,4,4,3,5,7,4,4,4,6,4,5,5,4,5,4,4
user_24,v1,6,3,4,6,4,5,5,5,6,5,3,5,3,5,5,6,4,5,6,5,4,5,6,4,5,4,5,4,4,5,4,6,5,4,5,6,6,5,5,4,2,5,4,5,4
user_25,v1,6,4,5,3,4,5,5,3,4,6,4,4,4,4,5,3,4,4,6,5,4,5,5,6,5,7,5,4,4,6,4,4,3,4,6,5,4,4,6,4,4,5,3,6,6
user_26,v1,5,6,5,4,5,4,5,5,3,4,5,6,4,4,4,5,5,3,6,6,2,5,5,4,5,4,4,5,4,4,3,3,4,5,4,4,3,5,5,3,6,4,3,5,3
user_27,v1,5,6,4,5,3,4,4,5,4,4,5,3,5,4,4,6,4,5,3,4,5,5,5,4,5,4,4,5,6,5,3,4,5,5,6,3,4,4,4,5,4,3,5,5,5
user_28,v1,6,4,5,5,6,6,4,6,6,5,5,5,5,4,6,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,4,5,5,3,6,5,5,6,4,6,4,4,3,3,5
user_29,v1,4,5,6,4,5,5,4,5,3,3,3,6,3,6,4,5,6,5,4,5,6,6,4,6,5,5,5,4,4,4,5,5,6,3,4,5,6,6,5,4,4,4,4,3,5
user_30,v1,4,4,5,5,4,4,5,5,4,4,2,5,5,5,6,5,4,4,4,5,5,4,5,5,5,5,3,3,4,5,4,6,5,4,3,4,5,4,4,5,6,4,4,5,6
user_31,v1,6,3,5,2,4,4,5,5,6,5,5,4,5,5,4,3,5,3,5,3,3,6,6,4,5,6,4,4,6,4,4,4,4,3,5,5,6,4,5,3,6,5,4,3,4
user_32,v1,6,4,4,4,4,3,3,6,6,4,4,4,6,3,5,6,3,2,5,4,4,4,4,6,6,5,4,4,4,5,5,4,4,4,4,4,3,2,5,5,4,4,5,4,4
user_33,v1,5,6,4,5,3,4,6,5,4,4,3,5,5,3,5,4,5,5,5,5,4,5,6,5,5,4,5,5,6,5,5,4,5,5,6,4,4,3,6,4,5,3,5,5,5
user_34,v1,4,4,5,4,6,6,5,4,3,5,5,3,5,2,6,5,5,4,4,5,5,5,6,5,5,4,6,4,5,5,4,5,2,4,5,2,4,3,6,4,4,5,4,4,5
user_35,v1,6,4,5,5,5,3,6,7,6,5,5,4,5,4,4,3,5,4,5,4,5,4,5,5,4,5,4,5,4,4,4,5,6,3,4,4,4,5,4,4,5,5,5,6,4
user_36,v1,4,4,6,5,5,5,3,5,6,5,4,4,5,5,4,3,4,5,4,2,5,5,5,6,5,6,4,4,7,5,4,4,5,5,3,5,5,4,5,4,5,3,5,6,5
user_37,v1,4,6,4,4,5,5,3,5,5,4,4,6,6,5,4,6,3,6,5,5,4,5,5,6,5,3,4,4,4,6,5,3,6,5,5,4,5,3,4,5,5,5,6,3,4
user_38,v1,5,6,4,5,4,3,4,3,4,5,4,5,3,4,5,4,5,4,4,3,5,5,6,5,5,6,4,6,4,4,6,6,3,3,4,5,4,4,5,3,5,3,4,4,4
user_39,v1,6,6,3,4,5,5,5,3,4,4,4,4,4,4,5,6,3,4,4,3,3,6,6,6,5,5,4,5,3,4,4,3,6,5,5,4,5,5,4,4,7,4,4,2,4
user_40,v1,5,4,4,4,4,5,6,5,4,5,3,4,4,4,5,4,4,5,5,2,5,5,4,5,5,5,5,4,5,5,5,4,7,5,5,5,4,5,4,4,4,4,3,4,6
user_41,v1,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,3,4,5,5,5,5,5,5,4,4,4,6,5,5,5,3,5,4,4,4,3,5,4,3,4,4,5,2
user_42,v1,5,3,4,5,3,7,4,4,6,4,5,4,6,5,6,5,5,5,6,5,5,5,5,4,5,4,5,4,6,4,4,3,5,6,4,4,4,4,2,6,4,4,5,4,5
user_43,v1,5,6,5,4,4,3,4,5,5,4,5,5,4,3,5,4,6,5,3,4,5,5,5,5,6,5,3,4,6,2,5,3,5,6,4,6,4,3,3,4,3,6,6,5,5
user_44,v1,5,3,4,5,4,5,6,6,4,4,5,3,2,5,5,5,5,5,4,6,5,5,5,5,5,5,4,4,4,6,3,3,3,4,5,5,4,5,4,4,3,4,5,3,3
user_45,v1,2,5,5,5,5,4,4,5,6,4,4,6,4,5,3,5,4,3,5,5,6,6,6,5,6,5,4,5,4,5,3,5,5,5,5,4,5,5,5,4,4,7,3,5,5
user_46,v1,4,4,3,3,5,5,6,3,5,3,4,5,5,4,2,3,5,4,5,6,4,5,6,6,5,4,6,4,3,3,5,4,5,4,4,5,5,4,4,6,4,5,5,4,5
user_47,v1,5,4,5,6,4,5,4,4,5,5,3,5,5,5,5,5,4,4,4,3,5,4,5,4,5,4,4,3,6,4,4,7,4,5,5,5,4,4,3,5,4,5,3,5,5
user_48,v1,3,4,2,4,4,4,6,4,6,5,5,4,5,7,4,6,3,5,4,4,4,5,4,5,5,3,3,6,5,6,5,4,6,6,4,5,6,4,4,4,5,5,5,4,2
user_49,v1,5,4,4,5,4,5,5,4,3,5,6,4,4,4,4,5,4,5,5,3,4,5,5,6,5,5,3,5,4,6,4,4,3,3,3,3,3,2,5,5,4,7,4,3,6
user_50,v1,4,4,3,6,4,3,4,4,4,4,3,3,3,5,5,4,4,6,4,4,5,5,5,5,5,5,5,3,6,5,4,4,3,4,5,5,4,5,5,5,4,4,5,3,4
user_1,v2,6,5,5,3,5,5,5,5,6,4,6,3,5,4,4,5,4,5,4,5,4,5,5,5,6,4,5,4,5,5,5,5,5,4,5,4,6,5,6,4,6,4,5,6,5
user_2,v2,6,7,5,4,6,5,4,5,4,4,6,4,5,5,5,4,4,6,4,6,4,5,5,5,5,4,5,5,6,5,4,5,3,5,5,4,3,4,4,5,5,4,5,3,5
user_3,v2,7,5,5,4,6,5,5,5,5,7,4,4,7,5,6,4,4,4,4,6,5,4,4,4,5,5,6,6,5,5,5,5,5,4,4,7,5,4,5,5,3,3,5,6,5
user_4,v2,6,4,6,6,6,6,4,5,6,5,4,5,4,5,5,4,5,5,5,6,5,5,5,5,5,5,6,5,4,6,4,6,6,5,5,7,6,5,3,5,4,6,4,5,5
user_5,v2,5,5,3,6,4,4,6,4,4,6,5,4,6,3,5,5,4,5,5,4,5,5,5,5,5,7,5,4,4,5,5,6,4,5,4,4,3,5,6,5,4,4,4,6,5
user_6,v2,6,3,6,3,5,4,6,3,4,4,5,5,4,5,5,5,4,6,5,5,5,4,5,4,5,5,6,5,5,5,3,4,5,6,6,6,6,6,4,4,3,5,5,5,4
user_7,v2,5,5,5,5,3,4,5,6,5,4,4,5,6,3,5,5,4,4,5,4,6,5,5,6,4,6,4,3,4,4,6,2,5,5,7,5,5,4,6,4,5,4,4,6,4
user_8,v2,5,4,4,4,5,5,5,5,5,5,7,3,4,4,6,3,5,4,5,5,5,5,4,5,5,4,4,6,3,5,5,4,2,4,4,5,5,5,6,6,5,5,5,6,5
user_9,v2,4,6,5,6,6,6,7,5,5,4,5,5,6,5,5,4,5,5,5,6,6,6,5,5,4,3,4,4,5,6,4,7,6,7,5,5,4,4,4,4,7,4,5,7,3
user_10,v2,6,4,6,4,3,6,5,6,4,5,5,6,4,5,5,4,5,6,5,4,5,5,5,5,5,6,4,6,5,5,7,5,5,4,4,4,4,5,7,5,5,4,4,6,5
user_11,v2,4,5,4,5,4,6,3,5,6,5,4,4,3,5,6,5,5,5,4,5,4,5,5,6,5,5,5,4,5,5,5,6,5,5,6,6,5,5,6,6,6,5,3,6,4
user_12,v2,6,4,5,6,5,4,5,5,4,5,4,5,6,4,4,4,3,5,6,3,6,4,6,6,6,4,6,5,6,6,4,7,5,6,4,5,6,4,6,6,6,4,6,5,5
user_13,v2,6,6,4,4,4,6,6,7,6,5,5,4,6,4,6,6,5,4,4,6,5,5,5,5,5,5,4,5,5,6,5,5,6,5,5,4,4,3,4,4,6,5,4,5,6
user_14,v2,3,5,5,3,4,7,4,4,4,5,3,5,4,5,3,3,6,3,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,7,4,4,6,5,5,6,6,3,6,6,4
user_15,v2,5,7,6,4,5,6,4,4,6,6,6,4,3,5,6,5,4,5,5,5,5,5,4,5,5,6,4,4,6,4,5,3,5,5,5,4,6,5,5,5,2,4,6,5,6
user_16,v2,3,6,6,6,5,7,6,4,5,5,5,3,5,4,5,6,6,5,4,5,5,5,5,5,5,5,4,5,4,2,4,5,4,4,4,3,6,5,4,5,5,5,4,5,4
user_17,v2,5,5,5,4,5,3,5,6,4,4,7,5,5,5,5,7,4,5,5,6,7,6,6,4,6,5,4,5,6,5,5,4,6,7,6,5,7,3,7,6,6,3,4,5,7
user_18,v2,6,5,5,2,4,4,4,5,6,5,7,5,5,6,3,4,6,3,5,3,6,4,5,6,5,4,5,3,6,5,5,5,4,5,4,4,4,6,5,7,5,3,7,4,5
user_19,v2,4,5,4,5,6,4,6,4,6,6,5,5,6,4,5,5,5,5,6,5,6,5,6,5,4,4,5,4,4,5,5,4,6,5,5,5,6,6,3,4,7,5,6,7,4
user_20,v2,5,4,6,6,6,6,7,4,3,6,5,4,5,5,4,4,5,3,4,5,5,5,6,5,5,4,6,4,3,5,3,5,4,6,5,6,5,4,6,5,5,4,5,4,6
user_21,v2,7,4,4,6,4,4,5,4,5,4,6,4,6,7,4,3,4,6,4,5,6,5,6,5,4,7,5,5,4,5,5,5,6,5,5,6,6,4,5,3,5,7,5,7,4
user_22,v2,4,6,6,5,5,5,4,5,3,5,6,5,5,3,5,6,5,4,6,6,5,5,5,5,5,6,3,4,4,3,6,5,5,5,5,5,5,4,4,5,6,7,4,3,4
user_23,v2,4,4,4,5,5,6,4,5,4,3,3,5,5,3,6,4,6,6,6,4,5,4,5,5,5,4,6,6,5,4,4,4,6,7,4,5,5,6,5,5,5,4,6,4,4
user_24,v2,6,3,5,6,5,6,6,5,6,5,3,5,3,6,5,6,4,6,7,5,5,5,6,4,5,4,5,5,4,6,4,6,4,5,5,6,6,4,5,5,2,5,5,5,5
user_25,v2,7,5,5,3,4,5,5,3,4,7,4,4,5,4,5,3,5,4,6,5,4,5,5,6,5,7,5,5,4,6,5,5,3,5,6,5,4,4,6,5,4,5,3,6,7
user_26,v2,5,6,5,5,5,4,5,5,4,4,6,6,5,5,4,5,6,4,6,6,2,5,5,4,5,4,5,6,4,5,3,3,4,5,4,5,4,6,6,3,6,4,4,6,3
user_27,v2,6,6,5,5,3,4,5,5,4,4,5,4,6,4,4,6,4,5,3,5,5,5,5,4,5,4,5,6,6,5,3,4,6,5,6,4,5,4,4,5,4,4,5,5,5
user_28,v2,6,5,5,5,6,6,4,6,7,6,5,5,6,4,7,5,6,4,6,5,5,6,5,5,5,5,4,5,5,6,5,5,5,3,6,5,5,6,5,6,5,5,4,5,5
user_29,v2,4,6,6,5,5,6,4,6,3,4,3,6,4,6,5,5,7,5,5,6,6,5,4,6,5,5,6,4,4,4,5,5,6,3,5,5,6,6,5,4,4,5,5,4,5
user_30,v2,5,5,6,5,5,5,5,6,4,4,3,5,5,6,6,5,4,5,5,5,4,4,5,5,5,6,3,4,5,5,5,6,5,5,4,4,5,5,4,5,6,4,3,5,6
user_31,v2,6,3,6,3,5,4,6,5,7,5,6,5,6,6,5,4,6,3,5,3,4,6,6,4,5,6,4,5,7,4,4,4,4,4,5,5,7,5,5,3,7,5,4,4,5
user_32,v2,6,3,5,4,5,3,4,5,7,4,4,4,7,3,5,6,4,3,5,4,5,4,4,6,5,6,4,4,5,6,5,5,5,5,4,5,3,2,5,5,4,4,6,5,5
user_33,v2,5,6,4,5,3,3,6,5,5,5,3,5,7,4,6,5,5,5,5,6,3,5,6,5,5,4,5,5,7,5,6,4,6,6,6,5,4,3,6,5,5,4,5,5,6
user_34,v2,4,5,6,4,6,7,6,5,3,6,5,3,5,2,6,6,5,5,4,5,5,5,6,5,5,5,6,5,5,5,5,5,3,4,6,3,5,4,6,4,4,5,5,4,5
user_35,v2,7,4,5,5,5,3,6,7,7,5,6,4,5,5,5,3,5,4,6,4,6,4,5,6,4,6,4,5,5,4,4,5,7,4,4,5,5,5,5,4,6,5,5,6,5
user_36,v2,4,4,6,5,6,6,4,6,6,5,5,5,5,6,5,4,4,5,5,2,6,5,5,7,5,7,4,5,7,5,5,5,5,5,4,6,5,5,6,5,5,4,5,5,6
user_37,v2,4,6,4,5,5,6,3,6,5,5,5,5,6,6,6,6,3,6,5,5,4,5,5,6,5,3,5,5,4,7,5,3,6,6,6,4,6,4,4,5,6,5,6,4,4
user_38,v2,5,7,5,5,4,4,5,4,4,5,4,5,4,5,5,5,5,4,5,4,5,5,6,5,5,6,4,6,4,4,7,6,3,3,5,5,4,4,5,3,5,4,5,3,5
user_39,v2,6,7,3,3,6,5,6,3,5,5,5,4,5,5,6,7,3,5,5,3,3,6,6,6,4,5,4,5,4,4,4,3,6,6,5,5,5,5,4,4,7,4,5,3,4
user_40,v2,6,5,5,5,5,6,7,5,5,5,4,5,4,4,5,5,5,5,5,2,5,5,4,5,5,6,5,5,6,5,5,4,7,6,6,5,5,6,4,5,4,5,4,4,6
user_41,v2,5,5,6,5,6,5,5,5,6,5,4,5,5,5,6,3,6,4,4,6,5,4,5,5,5,5,4,4,6,6,5,5,4,6,5,5,3,3,5,4,3,5,5,5,2
user_42,v2,5,3,5,5,3,7,4,4,6,5,5,4,6,6,6,6,5,5,7,5,5,5,5,4,5,4,5,5,6,4,3,4,6,6,5,4,5,5,2,6,4,5,6,5,5
user_43,v2,5,6,5,4,5,4,4,5,6,4,5,6,4,3,6,4,7,5,3,5,5,5,5,5,6,5,3,4,6,2,5,3,5,7,5,6,4,4,4,4,4,6,6,5,5
user_44,v2,5,4,5,5,4,6,6,6,3,5,5,3,3,5,4,5,6,5,4,6,5,5,5,5,5,5,4,5,5,6,4,3,4,4,6,6,5,6,5,4,3,4,6,4,4
user_45,v2,3,5,5,5,5,4,5,6,7,4,4,6,4,6,3,5,5,3,5,5,6,6,6,5,5,6,4,6,5,6,3,6,6,5,5,4,5,5,4,4,4,7,3,6,5
user_46,v2,4,5,4,3,5,5,6,4,6,4,5,6,6,4,2,3,5,5,5,6,4,5,6,6,5,5,7,4,3,3,5,5,6,5,5,6,5,4,5,6,4,5,6,4,5
user_47,v2,5,4,5,6,4,6,5,5,5,5,3,6,5,6,6,5,5,4,5,4,5,4,5,4,5,4,5,4,7,4,5,7,5,5,5,5,5,5,3,6,5,5,3,6,6
user_48,v2,3,5,2,5,4,4,7,4,7,5,5,5,5,7,4,7,3,5,5,5,3,5,5,5,5,4,3,6,5,6,5,4,6,6,4,5,6,5,4,4,6,5,6,5,2
user_49,v2,5,4,5,5,5,5,6,4,4,6,6,5,5,5,4,5,4,5,5,3,4,5,5,6,5,6,3,5,4,6,5,4,4,4,3,3,4,3,5,6,4,7,5,3,7
user_50,v2,5,5,3,6,4,4,5,4,5,4,3,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,4,6,6,4,5,3,4,5,6,4,5,6,5,5,4,6,3,4
